Range,Accuracy@5,Accuracy@15,Accuracy@25,Accuracy@50,Accuracy,Precision@5(micro),Precision@5(macro),Precision@15(micro),Precision@15(macro),Precision@25(micro),Precision@25(macro),Precision@50(micro),Precision@50(macro),Precision(micro),Precision(macro),Recall@5(micro),Recall@5(macro),Recall@15(micro),Recall@15(macro),Recall@25(micro),Recall@25(macro),Recall@50(micro),Recall@50(macro),Recall(micro),Recall(macro)
0.1,0.141,0.135,0.13876000000000002,0.13800000000000004,0.137137777921997,0.38425,0.19,0.38804269341769343,0.19504749484642342,0.3916063709896914,0.20070908662325332,0.380602783973478,0.1948147504172152,0.3761144665574804,0.19443725780465484,0.141,0.1292916666666667,0.135,0.10862407005032006,0.13876000000000002,0.09973402421843147,0.13800000000000004,0.08904957655505251,0.137137777921997,0.08312227078123231
0.2,0.2736,0.2714,0.2705600000000001,0.2715600000000001,0.26971064477564505,0.4674666666666667,0.2794430555555556,0.39905426795426796,0.24531031403451048,0.38817946570446205,0.23615509269259743,0.37886058654536453,0.22255713827677118,0.3729552239656921,0.21547118559301418,0.2736,0.25379444444444443,0.2714,0.21745462375587377,0.2705600000000001,0.19791255704066504,0.2715600000000001,0.17797413629700873,0.26971064477564505,0.1667385748802287
0.3,0.4054,0.3980666666666667,0.3975200000000001,0.39538,0.39345743576008124,0.48583055555555554,0.32918333333333333,0.39036040548793277,0.2706250083051868,0.37937482214945534,0.25601814361837677,0.36999518791013836,0.23864006738730023,0.36350330585522067,0.23193000512548334,0.40540000000000004,0.3745611111111111,0.3980666666666667,0.3223419657194657,0.3975200000000001,0.2963341950114428,0.39538,0.2631713339565032,0.39345743576008124,0.24798088694901912
0.4,0.5137999999999999,0.5063333333333334,0.5058400000000001,0.50336,0.5016765224349614,0.4777571428571429,0.3598733333333333,0.37885920052940997,0.28669354192544666,0.36545198572609994,0.2686951942159668,0.35539993185718094,0.24721583888330562,0.3491691705170709,0.23989242073433298,0.5138,0.48002222222222224,0.5063333333333334,0.41676663956413956,0.50584,0.38776671997409656,0.50336,0.34654145406771364,0.5016765224349614,0.32750681313326824
0.5,0.6094,0.6038666666666667,0.60352,0.59988,0.5974332224165705,0.4706202380952381,0.3821036111111111,0.3664169031147418,0.29533975490779063,0.3513456776464275,0.2778456688842572,0.33977133411604904,0.2547118929736499,0.33377549921639754,0.24507985991909043,0.6094,0.5768111111111112,0.6038666666666668,0.5076533461445961,0.60352,0.4758998279189441,0.59988,0.42712461263463297,0.5974332224165705,0.40270035392255527
