model,evaluation_protocol,source_file,Precision@5,Precision@15,Precision@25,Precision@50,Recall@5,Recall@15,Recall@25,Recall@50,MAP@5,MAP@15,MAP@25,MAP@50,NDCG@5,NDCG@15,NDCG@25,NDCG@50,Model,Precision@10,Precision@20,Recall@10,Recall@20,MAP@10,MAP@20,NDCG@10,NDCG@20
SVD,validation-only ranking,svd_metrics.csv,0.934,0.9106,0.89152,0.8336,0.085750605789749,0.2508787526577019,0.4092860443207908,0.7651490893053929,0.9644777777777778,0.941827112507864,0.9278317537004536,0.9011524182260146,0.939674487024188,0.920275081005686,0.90431957849725,0.8575688604523143,,,,,,,,,
SVD,1:99 per positive (leave-one-out),svd_v2_metrics.csv,0.0582549141688161,0.0318301758130985,0.0231995019123009,0.0154688250466957,0.2912745708440807,0.4774526371964778,0.5799875478075247,0.7734412523347861,0.1772474725014083,0.1979530621374435,0.2031535138642817,0.2084677896286004,0.2054678810489598,0.2612323207613273,0.284649884519342,0.3215804236876187,SVD_v2,0.0402792848883749,0.0267250733789913,0.4027928488837499,0.5345014675798274,0.1920621437818805,0.2011597841061884,0.2414613835141315,0.2747073324838793
SVD,aggregated (all positives + 99 neg. each),svd_v3_metrics.csv,0.2404255319148936,0.1702127659574468,0.1404255319148936,0.1054042553191489,0.0931436345527196,0.1636558246907603,0.2111638429842993,0.2885744357274291,0.4217095153664302,0.3844220636048834,0.3514206675595259,0.304268865096859,0.2735550166032262,0.2451341403857281,0.2419945614855141,0.2518234364673131,SVD_v3,0.1956382978723404,0.1544680851063829,0.1355451711694947,0.1887662621493206,0.4043772347394435,0.3653874700644394,0.2530733709065857,0.2431161659688626
ItemCF,validation-only ranking,item_based_metrics.csv,0.8752000000000001,0.8508666666666668,0.83096,0.78126,0.0803789327853758,0.2344160585427179,0.3815222831994764,0.7172124557926194,0.9162055555555556,0.8902340096562457,0.8744444260701526,0.8465261600831964,0.8778182273965127,0.85904214120969,0.8429845190370077,0.8024990109134349,,,,,,,,,
ItemCF,1:99 per positive (leave-one-out),ibcf_v2_metrics.csv,0.0424931594470701,0.0255191120903071,0.0198635442948011,0.0145371521978607,0.2124657972353505,0.3827866813546071,0.4965886073700294,0.7268576098930386,0.1203780367909218,0.1390759195496944,0.1447983280669005,0.1512022874830372,0.1431284242935957,0.1938828111794036,0.2198036139420846,0.2639098927970462,,0.0311716001563554,0.0221696101773213,0.3117160015635549,0.4433922035464269,0.1334976631283621,0.1424712735264809,0.1750973716329336,0.2081828089815299
ItemCF,aggregated (all positives + 99 neg. each),ibcf_v3_metrics.csv,0.1003194888178913,0.0888888888888888,0.0782108626198083,0.0648349307774228,0.047580553801417,0.0940827585452692,0.1267989196703727,0.1947092725658571,0.1830715299964501,0.1864604609008137,0.1789766651452392,0.1586023609031114,0.1118910678285366,0.1198484473852484,0.1249688575551152,0.141598529475812,,0.0963791267305644,0.0825878594249201,0.073651101954313,0.1126296977940869,0.1903184343196514,0.1831917605889279,0.1173401018906045,0.1223182399044944
