Range,Accuracy@5,Accuracy@15,Accuracy@25,Accuracy@50,Accuracy,Precision@5(micro),Precision@5(macro),Precision@15(micro),Precision@15(macro),Precision@25(micro),Precision@25(macro),Precision@50(micro),Precision@50(macro),Precision(micro),Precision(macro),Recall@5(micro),Recall@5(macro),Recall@15(micro),Recall@15(macro),Recall@25(micro),Recall@25(macro),Recall@50(micro),Recall@50(macro),Recall(micro),Recall(macro)
0.1,0.141,0.135,0.13876000000000002,0.13800000000000004,0.137137777921997,0.38425,0.19,0.38804269341769343,0.19504749484642342,0.3916063709896914,0.20070908662325332,0.380602783973478,0.1948147504172152,0.3761144665574804,0.19443725780465484,0.141,0.1292916666666667,0.135,0.10862407005032006,0.13876000000000002,0.09973402421843147,0.13800000000000004,0.08904957655505251,0.137137777921997,0.08312227078123231
0.3,0.4054,0.3980666666666667,0.3975200000000001,0.39538,0.39345743576008124,0.48583055555555554,0.32918333333333333,0.39036040548793277,0.2706250083051868,0.37937482214945534,0.25601814361837677,0.36999518791013836,0.23864006738730023,0.36350330585522067,0.23193000512548334,0.40540000000000004,0.3745611111111111,0.3980666666666667,0.3223419657194657,0.3975200000000001,0.2963341950114428,0.39538,0.2631713339565032,0.39345743576008124,0.24798088694901912
0.5,0.6094,0.6038666666666667,0.60352,0.59988,0.5974332224165705,0.4706202380952381,0.3821036111111111,0.3664169031147418,0.29533975490779063,0.3513456776464275,0.2778456688842572,0.33977133411604904,0.2547118929736499,0.33377549921639754,0.24507985991909043,0.6094,0.5768111111111112,0.6038666666666668,0.5076533461445961,0.60352,0.4758998279189441,0.59988,0.42712461263463297,0.5974332224165705,0.40270035392255527
0.7,0.7536,0.7440666666666667,0.74548,0.74568,0.7436239543106022,0.4529495337995338,0.40282944444444446,0.33745322254013244,0.3004753328098269,0.31857738389426526,0.277190363636749,0.30625888300169307,0.251924313494202,0.29993883241032393,0.2400212317250177,0.7536,0.7264916666666666,0.7440666666666667,0.6557994242331743,0.74548,0.6219047461089797,0.7456799999999999,0.5702983900309375,0.7436239543106022,0.5415641275208579
1.0,0.8824000000000001,0.8781333333333334,0.8774000000000001,0.87676,0.8745398993450899,0.4280228379420717,0.4145675,0.29896238016424487,0.28693956948034327,0.27543959905123633,0.25519262230655004,0.26086860637262965,0.2293823266507144,0.25357402731417167,0.2156178883200823,0.8824000000000001,0.8670805555555555,0.8781333333333334,0.8164583214933214,0.8774000000000001,0.7819473155623184,0.87676,0.734827795293777,0.8745398993450899,0.7070963559647027
